Order_ID,Carrier,Promised_Delivery_Days,Actual_Delivery_Days,Delivery_Status,Quality_Issue,Customer_Rating,Delivery_Cost_INR
ORD000045,SpeedyLogistics,5,5,On-Time,Perfect,4,637.03
ORD000046,SpeedyLogistics,3,5,Slightly-Delayed,Perfect,3,681.84
ORD000047,QuickShip,1,1,On-Time,Perfect,4,166.22
ORD000048,EcoDeliver,3,3,On-Time,Perfect,5,598.64
ORD000049,GlobalTransit,5,5,On-Time,Major_Damage,3,452.68
ORD000050,SpeedyLogistics,5,5,On-Time,Wrong_Item,4,616.12
ORD000051,QuickShip,10,10,On-Time,Perfect,5,920.14
ORD000052,ReliableExpress,7,8,Slightly-Delayed,Perfect,3,765.07
ORD000053,ReliableExpress,3,3,On-Time,Perfect,5,286.91
ORD000054,EcoDeliver,2,3,Slightly-Delayed,Perfect,3,488.53
ORD000055,GlobalTransit,7,12,Severely-Delayed,Perfect,3,919.83
ORD000056,SpeedyLogistics,7,7,On-Time,Perfect,5,810.13
ORD000057,EcoDeliver,10,10,On-Time,Perfect,5,761.7
ORD000058,ReliableExpress,4,4,On-Time,Incomplete,3,428.43
ORD000059,GlobalTransit,3,7,Severely-Delayed,Perfect,1,749.94
ORD000060,ReliableExpress,5,5,On-Time,Perfect,5,515.07
ORD000061,ReliableExpress,4,4,On-Time,Perfect,5,558.44
ORD000062,QuickShip,5,5,On-Time,Perfect,4,608.58
ORD000063,ReliableExpress,7,9,Slightly-Delayed,Perfect,3,905.22
ORD000064,GlobalTransit,4,5,Slightly-Delayed,Perfect,3,589.48
ORD000065,QuickShip,7,7,On-Time,Perfect,5,650.86
ORD000066,QuickShip,7,12,Severely-Delayed,Perfect,3,755.55
ORD000067,ReliableExpress,1,1,On-Time,Perfect,5,196.3
ORD000068,ReliableExpress,7,7,On-Time,Perfect,4,511.73
ORD000069,ReliableExpress,3,4,Slightly-Delayed,Perfect,3,368.74
ORD000070,SpeedyLogistics,10,15,Severely-Delayed,Perfect,1,1105.15
ORD000071,ReliableExpress,5,5,On-Time,Perfect,5,646.39
ORD000072,ReliableExpress,5,9,Severely-Delayed,Perfect,1,762.0
ORD000073,ReliableExpress,3,8,Severely-Delayed,Perfect,2,831.61
ORD000074,ReliableExpress,2,2,On-Time,Perfect,5,596.51
ORD000075,ReliableExpress,10,15,Severely-Delayed,Perfect,3,1178.01
ORD000076,QuickShip,2,2,On-Time,Perfect,5,477.95
ORD000077,QuickShip,3,3,On-Time,Perfect,5,463.0
ORD000078,SpeedyLogistics,7,7,On-Time,Perfect,5,629.54
ORD000079,GlobalTransit,7,8,Slightly-Delayed,Wrong_Item,2,533.76
ORD000080,QuickShip,3,3,On-Time,Perfect,5,409.75
ORD000081,ReliableExpress,5,7,Slightly-Delayed,Perfect,3,814.05
ORD000082,SpeedyLogistics,5,6,Slightly-Delayed,Perfect,3,723.21
ORD000083,SpeedyLogistics,5,10,Severely-Delayed,Perfect,2,686.42
ORD000084,ReliableExpress,4,4,On-Time,Perfect,5,486.64
ORD000085,SpeedyLogistics,4,7,Severely-Delayed,Perfect,1,776.69
ORD000086,SpeedyLogistics,7,10,Severely-Delayed,Perfect,1,626.95
ORD000087,SpeedyLogistics,10,10,On-Time,Perfect,4,754.96
ORD000088,SpeedyLogistics,5,5,On-Time,Perfect,4,690.74
ORD000089,SpeedyLogistics,1,2,Slightly-Delayed,Perfect,3,361.56
ORD000090,GlobalTransit,4,5,Slightly-Delayed,Perfect,3,381.05
ORD000091,GlobalTransit,1,5,Severely-Delayed,Perfect,1,567.01
ORD000092,EcoDeliver,5,5,On-Time,Major_Damage,4,694.7
ORD000093,QuickShip,4,8,Severely-Delayed,Perfect,1,736.11
ORD000094,ReliableExpress,10,11,Slightly-Delayed,Perfect,3,740.51
ORD000095,SpeedyLogistics,3,3,On-Time,Perfect,5,403.7
ORD000096,SpeedyLogistics,2,2,On-Time,Perfect,5,380.05
ORD000097,ReliableExpress,1,2,Slightly-Delayed,Perfect,3,431.71
ORD000098,SpeedyLogistics,5,9,Severely-Delayed,Perfect,3,853.74
ORD000099,QuickShip,4,5,Slightly-Delayed,Perfect,4,389.55
ORD000100,QuickShip,2,2,On-Time,Perfect,5,555.86
ORD000101,QuickShip,2,2,On-Time,Perfect,5,204.92
ORD000102,SpeedyLogistics,5,7,Slightly-Delayed,Perfect,4,598.02
ORD000103,GlobalTransit,1,2,Slightly-Delayed,Perfect,3,210.97
ORD000104,QuickShip,5,5,On-Time,Perfect,5,507.19
ORD000105,SpeedyLogistics,10,10,On-Time,Perfect,5,810.33
ORD000106,ReliableExpress,1,4,Severely-Delayed,Perfect,1,504.67
ORD000107,ReliableExpress,1,1,On-Time,Perfect,5,216.25
ORD000108,EcoDeliver,10,10,On-Time,Perfect,4,858.3
ORD000109,SpeedyLogistics,3,3,On-Time,Perfect,5,267.91
ORD000110,ReliableExpress,5,10,Severely-Delayed,Perfect,2,904.76
ORD000111,QuickShip,10,10,On-Time,Perfect,5,978.66
ORD000112,GlobalTransit,10,10,On-Time,Perfect,4,735.91
ORD000113,SpeedyLogistics,10,15,Severely-Delayed,Perfect,1,1056.9
ORD000114,ReliableExpress,7,7,On-Time,Perfect,5,601.56
ORD000115,SpeedyLogistics,3,3,On-Time,Perfect,5,252.68
ORD000116,GlobalTransit,2,2,On-Time,Minor_Damage,4,354.35
ORD000117,SpeedyLogistics,5,5,On-Time,Perfect,4,666.69
ORD000118,ReliableExpress,4,4,On-Time,Perfect,5,538.4
ORD000119,ReliableExpress,3,7,Severely-Delayed,Perfect,1,490.5
ORD000120,ReliableExpress,5,5,On-Time,Perfect,5,688.86
ORD000121,GlobalTransit,1,1,On-Time,Perfect,4,362.43
ORD000122,SpeedyLogistics,3,3,On-Time,Perfect,5,586.69
ORD000123,QuickShip,2,2,On-Time,Minor_Damage,3,432.09
ORD000124,QuickShip,5,5,On-Time,Perfect,5,573.88
ORD000125,SpeedyLogistics,2,3,Slightly-Delayed,Perfect,3,292.1
ORD000126,ReliableExpress,1,2,Slightly-Delayed,Perfect,3,266.94
ORD000127,EcoDeliver,2,2,On-Time,Perfect,5,588.81
ORD000128,ReliableExpress,3,4,Slightly-Delayed,Perfect,3,391.39
ORD000129,ReliableExpress,5,7,Slightly-Delayed,Perfect,3,840.98
ORD000130,EcoDeliver,5,5,On-Time,Perfect,5,562.77
ORD000131,SpeedyLogistics,5,5,On-Time,Perfect,5,404.32
ORD000132,QuickShip,5,6,Slightly-Delayed,Perfect,4,439.72
ORD000133,EcoDeliver,5,5,On-Time,Wrong_Item,4,433.55
ORD000134,SpeedyLogistics,5,6,Slightly-Delayed,Perfect,3,770.25
ORD000135,ReliableExpress,3,6,Severely-Delayed,Perfect,1,565.66
ORD000136,QuickShip,5,10,Severely-Delayed,Perfect,1,758.17
ORD000137,QuickShip,2,2,On-Time,Perfect,5,325.28
ORD000138,ReliableExpress,10,13,Severely-Delayed,Incomplete,3,808.82
ORD000139,EcoDeliver,1,4,Severely-Delayed,Perfect,1,495.14
ORD000140,ReliableExpress,10,10,On-Time,Perfect,4,652.02
ORD000141,SpeedyLogistics,4,6,Slightly-Delayed,Perfect,3,734.19
ORD000142,EcoDeliver,7,7,On-Time,Perfect,5,598.16
ORD000143,SpeedyLogistics,1,2,Slightly-Delayed,Incomplete,1,349.92
ORD000144,GlobalTransit,3,5,Slightly-Delayed,Wrong_Item,2,539.6
ORD000145,QuickShip,10,10,On-Time,Perfect,5,777.65
ORD000146,QuickShip,4,5,Slightly-Delayed,Perfect,3,747.94
ORD000147,GlobalTransit,5,6,Slightly-Delayed,Perfect,3,618.15
ORD000148,EcoDeliver,3,3,On-Time,Perfect,5,285.28
ORD000149,ReliableExpress,4,4,On-Time,Perfect,5,542.75
ORD000150,QuickShip,5,5,On-Time,Perfect,4,410.63
