Order_ID,Route,Distance_KM,Fuel_Consumption_L,Toll_Charges_INR,Traffic_Delay_Minutes,Weather_Impact
ORD000134,Bangalore-Chennai,1611.11,193.78,1288.89,108,None
ORD000135,Bangalore-Kolkata,416.43,48.29,333.14,102,None
ORD000136,Hyderabad-Ahmedabad,1181.27,140.4,945.02,14,Heavy_Rain
ORD000137,Bangalore-Bangkok,3380.01,401.55,0.0,0,Light_Rain
ORD000138,Delhi-Mumbai,180.99,23.99,144.79,92,Light_Rain
ORD000139,Delhi-Pune,1212.91,142.06,970.32,56,None
ORD000140,Bangalore-Chennai,177.19,19.16,141.75,108,None
ORD000141,Kolkata-Bangkok,2383.6,288.69,0.0,0,None
ORD000142,Bangalore-Hong Kong,3249.7,390.19,0.0,0,None
ORD000143,Chennai-Ahmedabad,1754.23,207.77,1403.39,37,None
ORD000144,Kolkata-Hong Kong,3312.45,401.32,0.0,0,None
ORD000145,Bangalore-Delhi,424.9,49.09,339.92,114,None
ORD000146,Delhi-Bangalore,1361.22,166.83,1088.98,86,None
ORD000147,Hyderabad-Chennai,1623.27,197.97,1298.62,111,Light_Rain
ORD000148,Delhi-Mumbai,408.74,47.76,326.99,46,Light_Rain
ORD000149,Bangalore-Chennai,1774.26,215.45,1419.41,84,None
ORD000150,Ahmedabad-Dubai,2448.8,292.66,0.0,0,None
