Order_ID,Fuel_Cost,Labor_Cost,Vehicle_Maintenance,Insurance,Packaging_Cost,Technology_Platform_Fee,Other_Overhead
ORD000082,244.68,196.45,88.32,37.91,65.83,81.76,57.42
ORD000083,230.16,226.5,87.68,62.67,55.99,76.45,54.86
ORD000084,166.15,168.28,61.83,39.06,29.7,51.11,38.24
ORD000085,247.36,198.8,101.14,68.49,59.16,69.18,64.72
ORD000086,193.11,184.44,67.82,37.13,37.69,59.85,32.95
ORD000087,256.52,227.37,93.74,52.2,69.42,64.79,56.84
ORD000088,211.51,177.6,88.89,54.09,64.86,70.67,67.69
ORD000089,110.23,93.93,36.95,21.43,27.86,38.26,18.9
ORD000090,150.36,127.35,43.76,20.52,22.29,32.42,21.4
ORD000091,199.51,155.69,66.85,56.4,47.75,66.88,32.39
ORD000092,234.96,212.21,72.14,34.88,58.02,73.41,49.0
ORD000093,256.88,214.61,74.49,49.15,43.32,61.79,72.02
ORD000094,266.54,239.09,85.73,51.58,45.8,62.11,43.65
ORD000095,153.31,128.28,51.41,29.77,38.8,33.47,25.85
ORD000096,127.31,124.75,56.87,23.58,35.62,43.03,23.27
ORD000097,146.75,125.61,64.29,25.49,38.84,40.31,37.36
ORD000098,291.98,262.81,120.92,77.01,79.67,70.34,72.23
ORD000099,122.32,113.59,49.64,27.32,29.6,46.69,22.11
ORD000100,204.3,160.98,59.28,32.2,54.18,64.03,53.0
ORD000101,81.79,55.5,24.13,17.1,15.2,19.82,13.91
ORD000102,214.92,183.93,64.63,44.01,46.45,61.48,36.18
ORD000103,78.95,53.27,24.84,18.78,16.5,19.08,17.88
ORD000104,180.93,167.18,69.36,40.83,37.74,43.28,31.99
ORD000105,277.06,251.15,101.85,52.19,40.78,80.91,52.09
ORD000106,188.47,127.38,65.22,48.99,29.63,49.89,27.54
ORD000107,78.41,65.97,26.03,16.45,20.51,19.0,11.06
ORD000108,331.45,264.11,124.05,68.53,77.68,83.42,75.1
ORD000109,104.83,82.31,29.21,17.0,16.06,24.08,17.5
ORD000110,321.65,279.39,109.77,73.08,48.93,75.56,53.01
ORD000111,344.3,265.61,111.73,68.52,88.66,78.84,80.71
ORD000112,270.0,242.75,107.91,37.54,42.45,84.96,53.67
ORD000113,376.74,334.3,141.58,102.08,105.53,115.0,68.02
ORD000114,233.39,153.35,67.11,57.07,37.78,53.43,34.23
ORD000115,97.51,75.81,33.79,15.65,22.21,27.9,16.58
ORD000116,120.86,96.02,52.74,29.16,34.28,32.65,31.57
ORD000117,251.07,212.78,98.86,46.45,37.69,71.25,57.65
ORD000118,192.48,145.74,67.42,35.32,38.43,56.97,46.98
ORD000119,158.54,142.51,55.65,29.4,43.74,57.08,33.6
ORD000120,258.41,234.01,98.03,40.74,67.38,65.49,46.13
ORD000121,110.99,108.23,38.22,22.63,23.86,40.72,33.99
ORD000122,193.75,197.05,83.82,51.77,33.64,63.14,57.06
ORD000123,159.12,122.35,54.02,35.56,32.64,36.64,28.35
ORD000124,218.21,192.91,61.33,56.02,38.13,61.11,50.27
ORD000125,111.35,100.65,33.78,27.14,16.53,31.61,25.44
ORD000126,98.17,73.47,38.35,15.6,14.06,29.02,19.69
ORD000127,226.64,169.78,63.84,54.07,45.6,51.56,50.65
ORD000128,137.42,121.5,48.16,35.79,35.8,42.42,21.63
ORD000129,322.84,266.68,113.41,57.31,79.02,91.68,46.78
ORD000130,191.78,190.58,57.61,55.19,47.25,59.23,35.75
ORD000131,131.36,139.17,46.46,35.89,28.16,34.6,20.43
ORD000132,155.85,152.84,52.09,29.84,29.55,44.33,31.67
ORD000133,168.21,130.3,54.36,24.68,42.98,39.02,23.27
ORD000134,282.15,238.42,93.01,54.77,68.75,67.65,70.1
ORD000135,206.4,165.11,69.52,35.54,49.56,56.86,37.36
ORD000136,272.64,265.04,92.32,72.81,50.99,62.31,45.65
ORD000137,111.2,88.46,32.53,31.15,29.99,35.68,18.99
ORD000138,252.38,207.67,110.16,78.0,57.85,68.56,61.16
ORD000139,165.81,142.34,64.9,42.55,27.5,40.32,49.37
ORD000140,210.78,166.51,71.39,33.87,45.37,73.09,43.73
ORD000141,252.87,233.15,92.1,68.33,68.5,59.03,65.27
ORD000142,207.01,208.69,74.27,59.42,52.48,53.8,46.01
ORD000143,139.69,117.49,36.7,29.85,23.54,28.09,24.56
ORD000144,174.55,179.09,63.06,49.31,27.0,49.81,33.49
ORD000145,251.46,199.72,85.04,60.48,50.21,75.2,53.54
ORD000146,289.89,254.7,93.23,49.74,41.39,88.36,39.65
ORD000147,203.84,172.96,71.72,35.99,55.11,52.48,50.53
ORD000148,89.12,73.33,41.5,16.98,25.98,29.04,15.37
ORD000149,214.68,149.09,77.6,31.72,50.31,43.71,41.03
ORD000150,154.78,141.04,59.73,37.36,38.77,36.12,26.37
